Repository URL,License
software_repository,Invalid GitHub URL
https://github.com/zhanghe9704/tpsa_sym,MIT License
https://github.com/dragontaoran/sleev,GNU General Public License v3.0
https://github.com/simonprovost/scikit-longitudinal,MIT License
https://github.com/filipezabala/voice/,GNU General Public License v3.0
https://github.com/supsi-dacd-isaac/BayesReconPy,GNU Lesser General Public License v3.0
https://github.com/kokkos/kokkos-fft,Other
https://github.com/SWIFTSIM/SOAP,GNU Lesser General Public License v3.0
https://github.com/martinvonk/SPEI,MIT License
https://github.com/LLNL/SSAPy,MIT License
https://github.com/ethz-randomwalk/polytopewalk,MIT License
https://github.com/paranoya/population-synthesis-toolkit,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/almost6heads/ConleyDynamics.jl,MIT License
https://github.com/xiaziyna/PyStarshade,Other
https://github.com/avapolzin/spike,MIT License
https://github.com/barricklab/seabreeze,MIT License
https://github.com/Tomaubier/CoperniFUS,GNU General Public License v3.0
https://github.com/Trybnetic/paat,MIT License
https://github.com/rnajena/sugar,MIT License
https://github.com/mne-tools/mne-lsl,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/SHF-NAILResearchGroup/HINA,MIT License
https://github.com/ankilab/EvoVis.git,Repository not found
https://github.com/pasteurlabs/tesseract-core,Apache License 2.0
https://github.com/IDEMSInternational/ExcelToShiny,GNU Lesser General Public License v3.0
https://github.com/folsomcp/specpolFlow,GNU General Public License v2.0
https://github.com/bzrudski/vectorose,MIT License
https://github.com/hyriver/hysetter,MIT License
https://github.com/poissonconsulting/bisonpicsuite,Apache License 2.0
https://github.com/JGCRI/gaia,Other
https://github.com/Critical-Infrastructure-Systems-Lab/PowNet,MIT License
https://github.com/GEUS-Glaciology-and-Climate/GrIML,MIT License
https://github.com/RWTH-EBC/districtgenerator,Other
https://github.com/uit-cosmo/blobmodel,MIT License
https://github.com/project-lighter/lighter,MIT License
https://github.com/s2mLab/pyScienceMode,MIT License
https://github.com/alexdaniel654/qlayers,GNU General Public License v3.0
https://github.com/cersonsky-lab/AniSOAP/,Apache License 2.0
https://github.com/turbo-sim/TurboFlow,MIT License
https://github.com/genai-impact/ecologits,Mozilla Public License 2.0
https://github.com/uaf-arctic-eco-modeling/dvm-dos-tem,MIT License
https://github.com/efpl-columbia/PointClouds.jl,MIT License
https://github.com/SynxFlow/SynxFlow,GNU General Public License v3.0
https://github.com/DS4Ag/dpest,GNU General Public License v3.0
https://github.com/Patrick-Cole/pygmi,GNU General Public License v3.0
https://github.com/Huracan-project/huracanpy,MIT License
https://github.com/slcs-jsc/mptrac,GNU General Public License v3.0
https://github.com/GreenScheduler/cats,MIT License
https://github.com/mthorrell/gbnet,MIT License
https://github.com/bc3LC/medusa,"BSD 2-Clause ""Simplified"" License"
https://github.com/TeamNCMC/cuisto,MIT License
https://github.com/cadet/CADET-Core,GNU General Public License v3.0
https://github.com/varchasgopalaswamy/AutoUncertainties,GNU General Public License v3.0
https://github.com/x-tabdeveloping/turftopic,MIT License
https://github.com/ZhiweiWei-NAMI/AirFogSim,Apache License 2.0
https://zivgitlab.uni-muenster.de/ag-salinga/fastatomstruct,Invalid GitHub URL
https://github.com/Rbfinch/grepq,MIT License
https://github.com/slacgismo/solar-data-tools/,"BSD 2-Clause ""Simplified"" License"
https://github.com/matta-research-group/SwiftPol,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/IRL2/nanover-server-py,MIT License
https://github.com/spm/spm,GNU General Public License v2.0
https://github.com/T0ngChen/medRCT,Other
https://github.com/valentingar/confluxpro/,GNU General Public License v3.0
https://github.com/DFKI-NI/syclops,GNU General Public License v3.0
https://www.github.com/openmsr/CAD_to_OpenMC,Invalid GitHub URL
https://github.com/angelmons/landlab,MIT License
https://github.com/bempp/kifmm/,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/m-shahbaz-kharal/LiGuard-JOSS,MIT License
https://github.com/maddataanalyst/hextractor,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/JuliaPOMDP/CompressedBeliefMDPs.jl,MIT License
https://github.com/rajmadan96/StochasticDominance.jl.git,Repository not found
https://github.com/mantzaris/WunDeeDB.jl,MIT License
https://gitlab.com/grogra/groimp-plugins/Pointcloud,Invalid GitHub URL
https://github.com/levuvietphong/pyTCR/,MIT License
https://github.com/fgerick/Limace.jl,European Union Public License 1.2
https://github.com/carlodev/SegregatedVMSSolver.jl,MIT License
https://github.com/mantzaris/LMDiskANN.jl,MIT License
https://github.com/csiro-risk-assessment/mozzie,GNU General Public License v3.0
https://github.com/microplastics-cluster/fragment-mnp,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/grdspcht/ggret/,Other
https://github.com/seahorce-scidac/REMORA,Other
https://github.com/OpenQuantumComputing/quantumreservoirpy,GNU General Public License v3.0
https://github.com/ORNL/icat,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/jonaspleyer/cellular_raza,GNU General Public License v2.0
https://github.com/bids-apps/giga_connectome,MIT License
https://github.com/sashakolpakov/dire-jax,Apache License 2.0
https://github.com/statistical-thinking/KI.ENNA,MIT License
https://github.com/SPARC-X/SPARC-X-API,GNU General Public License v3.0
https://github.com/DenaJGibbon/gibbonNetR,Other
https://github.com/HuttleyLab/DiverseSeq,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/chenzhaiyu/abspy,MIT License
https://github.com/Ecos-platform/ecos,MIT License
https://github.com/OpenHPS/openhps-core,Apache License 2.0
https://github.com/AgatheSenellart/MultiVae/,Apache License 2.0
https://github.com/aslan-ng/keepdelta,MIT License
https://github.com/michalc/OpenTTDLab,GNU General Public License v2.0
https://github.com/emsig/elfe3D,Apache License 2.0
https://github.com/gabo-di/AquaCrop.jl,Other
https://github.com/ImperialCollegeLondon/SWMManywhere,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/utpal-singh/SAnTex,GNU General Public License v3.0
https://github.com/phitterio/phitter-kernel,MIT License
https://github.com/bauer-alex/fuzzyclara,Other
https://github.com/NumericalMathematics/PositiveIntegrators.jl,MIT License
https://github.com/poissonconsulting/bbousuite,Apache License 2.0
https://github.com/nathandecaux/labelprop,Creative Commons Attribution 4.0 International
https://github.com/mattwarkentin/openmpp,Other
https://github.com/easystats/modelbased,GNU General Public License v3.0
https://github.com/areenberg/MDPSolver,MIT License
https://github.com/nichollsh/AGNI,GNU General Public License v3.0
https://github.com/ColmTalbot/gwpopulation,MIT License
https://github.com/GeoscienceAustralia/eo-tides,Apache License 2.0
https://github.com/unmannedlab/ekf_cal/,GNU General Public License v3.0
https://github.com/ropensci/gtexr,Other
https://github.com/metagentools/gbintk,GNU General Public License v3.0
https://github.com/mantzaris/BenchmarkDataNLP.jl,MIT License
https://github.com/nationalparkservice/NPSdataverse.git,Repository not found
https://github.com/meantrix/corrp,GNU General Public License v3.0
https://github.com/LLNL/popclass,MIT License
https://github.com/morrowcj/remotePARTS,GNU General Public License v3.0
https://github.com/aris-mav/NMRInversions.jl,MIT License
https://github.com/scikit-hep/vector,"BSD 3-Clause ""New"" or ""Revised"" License"
https://github.com/ORNL/AdditiveFOAM.git,Repository not found
https://github.com/thelfer/MFrontGallery,GNU Lesser General Public License v3.0
https://github.com/gerlero/foamlib,GNU General Public License v3.0
